ticker,company_name,cik,fiscal_year,filing_type,filing_date,data_source,revenue,gross_profit,operating_income,net_income,cash_and_equivalents,total_assets,total_liabilities,long_term_debt,current_debt,operating_cash_flow,capex,shares_outstanding,depreciation_amortization,interest_expense,total_debt,sector_theme,source_type,data_mode,fundamentals_refresh_timestamp
CBOE,CBOE,1374310,2023,10-K,2024-02-16,sec_companyfacts,,1918000000.0,1047600000.0,761400000.0,1397100000.0,7487500000.0,1383400000.0,1439200000.0,304700000.0,1075600000.0,45000000.0,,158000000.0,,1743900000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
CBOE,CBOE,1374310,2024,10-K,2025-02-21,sec_companyfacts,,2072400000.0,1083800000.0,764900000.0,1765800000.0,7789100000.0,1395200000.0,1441000000.0,,1100600000.0,60900000.0,,133000000.0,,1441000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
CBOE,CBOE,1374310,2025,10-K,2026-02-20,sec_companyfacts,,2429100000.0,1566600000.0,1100000000.0,3868800000.0,9305300000.0,2362300000.0,1442900000.0,,1752600000.0,71000000.0,,122400000.0,,1442900000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
CME,CME,1156375,2022,10-K,2023-02-27,sec_companyfacts,5019400000.0,,3490300000.0,2691000000.0,137974300000.0,174175700000.0,137687500000.0,,16000000.0,3056000000.0,89700000.0,,134900000.0,,16000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
CME,CME,1156375,2023,10-K,2024-02-28,sec_companyfacts,5578900000.0,,4153600000.0,3226200000.0,93109700000.0,129706100000.0,93416900000.0,,0.0,3453800000.0,76400000.0,,126000000.0,,0.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
CME,CME,1156375,2024,10-K,2025-02-27,sec_companyfacts,6130100000.0,,4541400000.0,3525800000.0,101794100000.0,137447000000.0,102313900000.0,,749800000.0,3690500000.0,94000000.0,,115100000.0,,749800000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
CME,CME,1156375,2025,10-K,2026-02-26,sec_companyfacts,6520600000.0,,5330500000.0,4072200000.0,164079500000.0,198424200000.0,160296700000.0,,0.0,4277100000.0,83500000.0,,107500000.0,,0.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
EVR,EVR,1360901,2022,10-K,2023-02-24,sec_companyfacts,2778898000.0,,704041000.0,531415000.0,672123000.0,3620923000.0,1070536000.0,,,531376000.0,23187000.0,,27713000.0,16850000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
EVR,EVR,1360901,2023,10-K,2024-02-22,sec_companyfacts,2442666000.0,,365790000.0,285223000.0,605484000.0,3703298000.0,910059000.0,,,457954000.0,20048000.0,,24348000.0,16717000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
EVR,EVR,1360901,2024,10-K,2025-02-21,sec_companyfacts,2996361000.0,,533145000.0,417737000.0,882107000.0,4173971000.0,1229801000.0,,,988151000.0,30101000.0,,24468000.0,16768000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
EVR,EVR,1360901,2025,10-K,2026-02-20,sec_companyfacts,3880084000.0,,793814000.0,640707000.0,1436140000.0,5358097000.0,1783421000.0,,,1256464000.0,74002000.0,,32557000.0,24264000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
IBKR,IBKR,1381197,2022,10-K,2023-02-24,sec_companyfacts,1506000000.0,,1998000000.0,1842000000.0,28603000000.0,115143000000.0,103528000000.0,,,3968000000.0,,,,1018000000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
IBKR,IBKR,1381197,2023,10-K,2024-02-27,sec_companyfacts,1557000000.0,,3069000000.0,2812000000.0,32593000000.0,128423000000.0,114356000000.0,,,4544000000.0,,,,3436000000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
IBKR,IBKR,1381197,2024,10-K,2025-02-27,sec_companyfacts,1977000000.0,,3695000000.0,3407000000.0,40233000000.0,150142000000.0,133545000000.0,,,8724000000.0,,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
IBKR,IBKR,1381197,2025,10-K,2026-02-27,sec_companyfacts,2440000000.0,,4771000000.0,4357000000.0,55295000000.0,203240000000.0,182768000000.0,,,15811000000.0,,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
